"Group","","#","Mnemonic","Flag Set","O1","O2","O3","O4","","opcode_name","","t_O1","","t_O2","","t_O3","","t_O4","","FT","FO","swz","c_F","s_O1","s_O2","s_O3","s_O4","Chk","enc","","","","","","","","","","","","","","","","","",""
"","","60","BCLR","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] & ~(1 << Imm)","BCLR_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","61","BTOG","","r_dst","r1","imm","","Reg[Rd] = Reg[R1] ^ (1 << Imm)","BTOG_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","62","BTST","","r_dst","r1","imm","","Reg[Rd] = (Reg[R1] & (1 << Imm) ? 1 : 0","BTST_I","1","Reg","6","Reg","6","U12","12","","0","","","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"Jumps","","63","JMP","","imm","","","","PC += Imm","JMP","1","S24","24","","0","","0","","0","Rel","1","1234","0","24","0","0","0","24","B24","","","","","","","","","","","","","","","","","",""
"","","64","JMPA","","imm","","","","PC = Imm","JMPA_I","1","U24","24","","0","","0","","0","Abs","1","1234","0","24","0","0","0","24","B24","","","","","","","","","","","","","","","","","",""
"","","65","JMPA","","r_dst","","","","PC = Reg[Rd]","JMPA","1","Reg","6","","0","","0","","0","","","1234","0","6","0","0","0","6","B6","","","","","","","","","","","","","","","","","",""
"","","66","JZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] == 0 THEN PC += Imm","JZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","67","JNZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] != 0 THEN PC += Imm","JNZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","68","JLTZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] < 0 THEN PC += Imm","JLTZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","69","JLEZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] <= 0 THEN PC += Imm","JLEZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","70","JGTZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] > 0 THEN PC += Imm","JGTZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","71","JGEZ","REL_JMP","r_cmp","imm","","","IF Reg[Rc] >= 0 THEN PC += Imm","JGEZ","1","Reg","6","S16","16","","0","","0","Rel","2","1234","2","6","16","0","0","24","F2_B6_B16","","","","","","","","","","","","","","","","","",""
"","","72","JEQ","","r1","r2","imm","","IF Reg[R1] == Reg[R2] THEN PC += Imm","JEQ","1","Reg","6","Reg","6","S12","12","","0","Rel","3","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","73","JNE","","r1","r2","imm","","IF Reg[R1] != Reg[R2] THEN PC += Imm","JNE","1","Reg","6","Reg","6","S12","12","","0","Rel","3","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","74","JLT","","r1","r2","imm","","IF Reg[R1] < Reg[R2] THEN PC += Imm","JLT","1","Reg","6","Reg","6","S12","12","","0","Rel","3","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","75","JLE","","r1","r2","imm","","IF Reg[R1] <= Reg[R2] THEN PC += Imm","JLE","1","Reg","6","Reg","6","S12","12","","0","Rel","3","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","76","JEQ","","r_cmp","imm_cmp","imm_jmp","","IF Reg[Rc] == Cmp THEN PC += Imm","JEQ_I","1","Reg","6","S9","9","S9","9","","0","Rel","3","1234","0","6","9","9","0","24","B6_B9_B9","","","","","","","","","","","","","","","","","",""
"","","77","JNE","","r_cmp","imm_cmp","imm_jmp","","IF Reg[Rc] != Cmp THEN PC += Imm","JNE_I","1","Reg","6","S9","9","S9","9","","0","Rel","3","1234","0","6","9","9","0","24","B6_B9_B9","","","","","","","","","","","","","","","","","",""
"","","78","JLT","","r_cmp","imm_cmp","imm_jmp","","IF Reg[Rc] < Cmp THEN PC += Imm","JLT_I","1","Reg","6","S9","9","S9","9","","0","Rel","3","1234","0","6","9","9","0","24","B6_B9_B9","","","","","","","","","","","","","","","","","",""
"","","79","JLE","","r_cmp","imm_cmp","imm_jmp","","IF Reg[Rc] <= Cmp THEN PC += Imm","JLE_I","1","Reg","6","S9","9","S9","9","","0","Rel","3","1234","0","6","9","9","0","24","B6_B9_B9","","","","","","","","","","","","","","","","","",""
"","","80","JGT","","r_cmp","imm_cmp","imm_jmp","","IF Reg[Rc] > Cmp THEN PC += Imm","JGT_I","1","Reg","6","S9","9","S9","9","","0","Rel","3","1234","0","6","9","9","0","24","B6_B9_B9","","","","","","","","","","","","","","","","","",""
"","","81","JGE","","r_cmp","imm_cmp","imm_jmp","","IF Reg[Rc] >= Cmp THEN PC += Imm","JGE_I","1","Reg","6","S9","9","S9","9","","0","Rel","3","1234","0","6","9","9","0","24","B6_B9_B9","","","","","","","","","","","","","","","","","",""
"","","82","JLTU","","r1","r2","imm_jmp","","IF Reg[R1] < Reg[R2] THEN PC += Imm (unsigned)","JLTU","1","Reg","6","Reg","6","S12","12","","0","Rel","3","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"","","83","JLEU","","r1","r2","imm_jmp","","IF Reg[R1] <= Reg[R2] THEN PC += Imm (unsigned)","JLEU","1","Reg","6","Reg","6","S12","12","","0","Rel","3","1234","0","6","6","12","0","24","B6_B6_B12","","","","","","","","","","","","","","","","","",""
"IO","","84","OUT","","port","imm","","","IO[P] = imm
Set mask to 0xFFFFFFFF","OUT_I","1","U8","8","U16","16","","0","","0","","","1234","0","8","16","0","0","24","B8_B16","","","","","","","","","","","","","","","","","",""
"","","85","OUT","","port","r_src","","","IO[P] = Reg[r_src]
Set mask to 0xFFFFFFFF","OUT","1","U8","8","Reg","6","","0","","0","","","1234","0","8","6","0","0","14","B8_B6","","","","","","","","","","","","","","","","","",""
"","","86","OUT","","port","r_src","imm_shift","imm_width","IO[P] = (Reg[r_src] << imm_shift)
Set mask to ((1 << imm_width) - 1) << imm_shift","OUT_SH","1","U8","8","Reg","6","U5","5","U5","5","","","1234","0","8","6","5","5","24","B8_B6_B5_B5","","","","","","","","","","","","","","","","","",""
"","","87","OUT","","port","r_src","r_mask","","IO[P] = Reg[Rv]
Set mask to Reg[r_mask]","OUT_MSK","1","U8","8","Reg","6","Reg","6","","0","","","1234","0","8","6","6","0","20","B8_B6_B6","","","","","","","","","","","","","","","","","",""
"","","88","IN","","r_dst","port","","","Reg[Rd] = IO[P]","IN","1","Reg","6","U8","8","","0","","0","","","21","0","8","6","","","14","B8_B6","","","","","","","","","","","","","","","","","",""
"Load/Store","","89","LOADB","","r_dst","addr","","","Reg[Rd] = Mem[Imm] (8 bit load)","LOADB_I","1","Reg","6","U18","18","","0","","0","Abs","2","1234","0","6","18","0","0","24","B6_B18","","","","","","","","","","","","","","","","","",""
"","","90","LOADH","","r_dst","addr","","","Reg[Rd] = Mem[Imm] (16 bit load)","LOADH_I","1","Reg","6","U18","18","","0","","0","Abs","2","1234","0","6","18","0","0","24","B6_B18","","","","","","","","","","","","","","","","","",""
"","","91","LOADW","","r_dst","addr","","","Reg[Rd] = Mem[Imm] (32 bit load)","LOADW_I","1","Reg","6","U18","18","","0","","0","Abs","2","1234","0","6","18","0","0","24","B6_B18","","","","","","","","","","","","","","","","","",""
"","","92","LOADB","STORE_LOAD","r_dst","r_src_addr","","","Reg[Rd] = Mem[Reg[Rs]] (8 bit load)
If I, Reg[Rs] += 1
If X, sign-extend Reg[Rd]","LOADB","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
